title,description
베싸의 말문이 트이는 영어육아 (일상에서 자연스럽게 익히는 우리 아이 진짜 영어),"우리 아이의 영어 첫 경험, ‘공부’가 아닌 ‘언어’로 만들어 주세요“아이가 영어를 유창하게 하려면 어떻게 해야 하나요?” “영어 교육은 몇 살부터 하는 게 좋을까요?” “영어 유치원 보내야 할까요?” 자녀의 언어 교육에 대한 부모들의 관심은 항상 뜨겁다. 특히 영어에 대한 열정은 남다르다. 이미 영어 교육에 관한 수많은 정보가 있고, 그만큼 정확한 근거 없이 무분별하게 확산되는 가짜 정보들도 무수하다. 내 아이의 영어 교육, 어떻게 하면 좋을까? 이 질문에 과학적으로 검증된 팩트만으로 속 시원하게 답을 주는 영어 육아서가 출간되었다. 신간 〈베싸의 말문이 트이는 영어 육아〉의 저자 베싸는 구독자 15만 채널 ‘베싸TV’의 운영자이자 7살 그리고 2살 딸을 둔 엄마다. 그리고 첫째 딸이 18개월일 때부터 지금까지 영어 육아, 즉 바이링구얼 육아를 실천하고 있다. 그녀가 바이링구얼 육아의 세계에 입문하게 된 것은, 부모들의 최대 관심사인 ‘올바른 영어교육’에 관해 리서치하면서였다. 저명한 교수와 언어학자의 논문은 물론 세계 주요 기관에서 발행한 수많은 정보를 종합적으로 분석한 결과, 바이링구얼 육아는 단순히 언어를 습득하는 것을 넘어 아이의 뇌 발달을 촉진하고 사고력, 인지 능력, 사회성 형성에 도움이 된다는 사실을 알게 되었다. 두 자녀에게 바이링구얼 육아를 실천하며 바이링구얼 육아의 다양한 장점을 몸소 체험한 그녀는, 영어 노출에 관한 잘못된 오해들을 바로잡고 영어를 잘하지 못하는 부모도 바이링구얼 육아를 할 수 있음을 증명하기 위해 그간의 경험과 자료를 모아 책으로 썼다. 그녀는 “만약 영어에 능숙하지 못해 바이링구얼 육아를 선뜻 시도하지 못하는 부모가 있다면 전혀 걱정할 필요가 없다”라고 말하며 “완벽하게 구사하지 않아도, 원어민 발음이 아니어도 괜찮다”라고 단언한다. 2~3살 어린아이에게 어려운 한국말을 사용하지 않듯, 영어 또한 마찬가지다. 육아 상황에 필요한 문장 패턴 몇 가지만 외우면 단어만 바꿔가며 다양하게 활용할 수 있다. 아이와 교감하며 대화를 하는 데는 짧은 영어 몇 문장으로도 충분하다.바이링구얼 육아의 목적은 아이에게 얼마나 완벽한 영어를 들려주는지가 아니다. 아이가 어렸을 때부터 어떤 형태로든 영어를 ‘언어로서’ 경험할 수 있도록 환경을 만들어, 영어가 ‘언어’이자 ‘소통의 도구’라는 인식을 아이 마음속에 심어주는 것이다. 이는 언어에 극도로 민감하고 뇌가 아직 성숙하지 않은 생애 초기에, 부모가 아이에게 딱 한 번만 줄 수 있는 값진 선물이다."
천재 보고서 (내 안의 잠재력을 깨우는 천재들의 비밀코드),"모두가 어수선하다고 생각했지만 천재로 기억된 사람들케임브리지·예일대 심리학자가 밝혀낸 천재들의 비밀!《천재 보고서》는 케임브리지와 예일대학교 심리학자 스콧 배리 카우프만의 획기적인 연구와 저널리스트 캐롤린 그레고어가 〈허핑턴 포스트〉에 기고해 호평받은 기사에서 출발한 책이다. 이 책은 파블로 피카소, 프리다 칼로, 마르셀 프루스트, 데이비드 포스터 월리스, 토머스 에디슨, 조세핀 베이커, 존 레논, 마이클 잭슨, 톰 요크, 조시 웨이츠킨, 미야모토 시게루 등 역사적으로 유명한 천재들의 수많은 사례를 통해 복잡하고 어수선한 마음 가운데 그들의 잠재력을 깨울 수 있었던 ‘천재들의 10가지 비밀코드’에 관해 말하고 있다. 정신건강의학과 전홍진 교수는 “실제 천재는 남과 다른 생각을 하고 난제를 해결해 내는 창의적인 사람들이다. 앞으로 세상을 바꿀 리더들은 어수선한 천재들이 될 것”이라고 말하며 이 책을 추천했고, 소아청소년 정신과 김붕년 교수는 “여기에서 소개하는 요소들은 세부적인 천재 마음 이해하기의 열쇠들입니다. 동시에 이것은 인생을 살아가는 우리 같은 범재에게도 꼭 필요한 삶의 태도”라는 추천평과 함께 이 책을 통해 앞으로 우리가 나아가야 할 방향은 단순하고 획일적인 사고방식과 교육이 아닌, 자기 안에 자리한 고유한 잠재력을 일깨우고 키우는 데 집중해야 함을 강조했다.“창의성은 결국 자기 삶의 아름다운 창조자가 되는 과정”이라는 박문호 박사의 추천평처럼, 우리는 이 책에 담긴 잠재력을 깨우는 천재들의 10가지 키워드를 통해 천재들의 창의성에 관한 비밀뿐만 아니라 삶의 의미, 인간다움, 인문학적 통찰을 발견하는 동시에 깊은 내면에 잠재되어 있는 진정한 나와 마주하며 내 삶의 아름다운 창조자로 거듭날 수 있게 될 것이다."
마음의 기술 (부정적 감정을 지우는 효과적인 뇌 사용법),"뇌를 이해해야 마음이 보인다삶에 은밀히 녹아든 부정적 감정을 지우는 효과적인 뇌 사용법구체적 사례를 통한 감정, 행동 패턴, 통제 방법 제시《마음의 기술》은 우리를 고통스럽게 하는 행동과 생각을 수정하고 강렬한 감정을 조절하는 방법을 안내하는 책이다. 그리고 그 방법은 누구나 쉽게 이해하고 적용할 수 있는 신경과학 기초 지식을 바탕으로 한다. 정신과의사이자 신경과학박사인 안-엘렌 클레르와 심리치료사 뱅상 트리부는 뇌가 교육이 가능하며, 뇌의 기능을 이해한다면 누구라도 자신의 뇌를 교육할 수 있다고 말한다. 두 저자가 전하는 지식과 경험을 이용해 독자가 스스로 ‘내 마음의 주치의’가 되는 것이 바로 이 책의 목적이다. 이 책은 신경생물학 모델, 인지행동 모델, 수용전념치료, 마음챙김, 심리도식치료, 긍정심리학 등 정신의학에서 검증된 이론들을 다양한 심리적 문제 상황에 맞게 적용하는 법을 알려준다. 구체적인 상담 사례를 예시로 들어 어떤 이론을 사용할지, 어떤 이론들을 조합할지, 이때 주의할 점은 무엇인지, 일반 독자의 눈높이에 맞춰 친절하고 명확하게 제시하고 있다. 실제 상담에서 효과를 본 검증된 방법인 만큼, 이를 활용하면 일상 속 심리 문제에 효과적으로 대처할 수 있을 것이다. 더불어 이 책은 전문가와 상담이 필요한 경우가 무엇인지 명확하게 알려준다는 장점이 있다. 심리 문제를 겪는 사람들의 고민 중 하나는 과연 내 마음이 스스로 치유가 가능한지, 아니면 전문가를 찾아야 하는지 알기가 어렵다는 점이다. 이 책은 증상과 원인에 따라 전문가의 도움이 필요한 상황을 알려주어, 독자가 올바르게 대처할 수 있도록 안내하고 있다. 1부 ‘뇌 이해하기’에서는 우리 뇌가 어떻게 작동하는지, 특정 감정이 생겨나고 표출되는 데 어떠한 역할을 하는지 알려준다. 뇌의 작동 방식을 명확히 이해해 앞으로 배우게 될 다양한 기술이 작동하는 원리를 이해하도록 돕는다. 2부 ‘통제 수단’에서는 우리의 마음을 다스리는 다양한 기술을 알려준다. 이 기술들은 어렵지 않고, 일상에서도 수행할 수 있으며, 삶의 다양한 문제에 적용할 수 있어 독자가 스스로 ‘내 마음의 주치의’가 되도록 도와줄 것이다.3부 ‘일상에서 실천하기’에서는 구체적인 심리 상황에 맞게 앞에서 배운 내용을 적용하는 방법을 알려준다. 불안이 커졌을 때, 슬픔에서 헤어 나오지 못할 때, 번아웃에 빠졌을 때 어떤 기술을 활용해야 하는지 구체적인 사례를 통해 알려준다. 행복과 평안은 어디선가 주어지는 게 아니라, 내 마음 안에 있다. 그러니 마음을 잘 다스릴 수 있다면 고통에서 벗어나 긍정적인 삶의 모습에 다가갈 수 있을 것이다. 《마음의 기술》에서 제시하는 뇌 훈련법과 감정 대응법을 바탕으로 ‘내 마음의 주치의’가 되어 새로운 삶의 길을 열어 보자!"
별의 커비 오늘도 동글동글 일기! 2,"새해 첫 꿈으로 커비 선배에게 고백하는 악몽(?)을 꾸는 디디디 대왕, 미지의 힘에 의해 조종당해 대왕님을 ‘멍청아!’라고 불러 버린 메타 나이트, 입춘을 대재앙의 날로 바꿔 버린 커비, 밸런타인데이에 특별한 비밀 작전을 벌이는 커비 일행… 그리고 이들 앞에 커비 일행을 해치우려는 얼음의 삼사신이 나타난다. 하루도 조용할 날 없는 커비와 디디디 대왕의 하루하루를 담은 『별의 커비 오늘도 동글동글 일기!』. 두 번째 이야기는 다이내믹함과 폭소가 더욱 업그레이드되어 찾아온다."
지적 대화를 위한 넓고 얕은 지식 무한 (지식과 지혜를 실천으로 이끄는 마음 여행서),"인문학의 신화 《지대넓얕》 시리즈 5년 만의 신작그리고 10년 만의 완결  ∞(무한): 지식의 끝에서, 구부러져 되돌아오다지금까지의 앎을 삶에 뿌리내리게 하는 가장 최후의 교양이 책은 진정한 행복, 진정한 삶의 이해로 나아가게 한다! 지난 10년간 단 한 번도 베스트셀러에서 내려온 적이 없는 우리 시대 교양서 《지적 대화를 위한 넓고 얕은 지식》으로 대표적인 인문학 작가로 자리매김한 채사장이 5년 만에 다시 시리즈의 신작으로 돌아왔다. 작가는 전작 1, 2권에 이어 3권이 아니라 0권 〈제로〉 편을 출간하며 전례 없는 시리즈 구성을 보임과 동시에, 0이라는 숫자로 인류의 방대한 지성사를 연결하며 깊은 지식까지 아울렀다. 그리고 이제 5년 만의 신작 ∞권 〈무한〉 편은 깊은 지식으로 잠영했다 삶으로 돌아오게 하는 ‘실천’의 영역을 다루며, 10년간 인문 분야에 큰 반향을 일으킨 시리즈의 정점을 찍는다. 그 어떤 시대보다도 수많은 지식을 갖고 있지만 우리는 왜 알면 알수록 채워지지 않을까? 작가는 이 문제에 오랜 시간 천착한 끝에, 지식이 삶에 뿌리내리지 못하는 이유가 실천하지 못해서라는 사실을 깨달았다. 여기서 실천이란 바로 나와 세계의 실체를 알고 삶을 바라보는 태도를 코페르니쿠스적으로 바꾸는 것이다. 그간 지식의 모든 분야를 종횡무진하며 자신만의 연결고리로 인문학의 대축적지도를 그려낸 작가는 어느덧 지식과 지혜를 넘어 삶이라는 영원한 숙제를 풀어내고 있다. 독자들은 이 책을 통해 우리가 놓치고 있는 지식이 무엇인지 강렬하게 깨달음으로써 요원할 것만 같던 좋은 사람이 되는 법, 진정한 행복에 이르는 법, 고요하고 평온하게 삶을 살아가는 법을 배우게 될 것이다.  10년간 베스트셀러 작가 채사장 《지대넓얕》에 마침표를 찍다시리즈를 완결하는 거대한 정점, 이번엔 ∞(무한)이다!  우리가 놓치고 있는 절반의 영역을 다루다인류가 좀처럼 다루지 않는 ‘지식의 실천’이란 무엇인가?이제껏 다루어지지 못한 앎에 대한 과감한 도전, 역사적 서술  지난 10년간 《지적 대화를 위한 넓고 얕은 지식》은 명실공히 인문 교양 분야 최고의 베스트셀러였다. 하나의 대명사가 된 ‘지대넓얕’ 시리즈는 어렵고 방대한 인문학 분야에 큰 지도를 그려주었다. 그러나 10년이라는 시간 동안 지식의 양은 기하급수적으로 늘어났다. 지식이 적체된 시대, 지도마저도 하나의 정보처럼 피로해지는 이런 시대에 책은 과연 무슨 일을 할 수 있을까? 왜 인간은 지식을 채워도 행복해지지 않는 걸까? 작가 채사장은 우리가 그것을 소화하지 못해서임을 깨달았다. 우리가 놓치고 있는 것이 있어서임을. 그렇게 작가는 새로운 질문을 품었다. 과연 어떤 앎이 인간을 도울 수 있을까?10년 만에 완결하는 이번 책 〈무한〉 편에서 작가는 오랜 탐구 끝에 길어 올린 해답을 내놓는다. 바로 인류가 좀처럼 다루지 못하는 거대한 절반의 영역, ‘실천’에 대한 것이다. 실천은 머리가 아니라 몸, 사유가 아니라 행동이다. 지식을 체험하는 것이다. 삶에 뿌리내리게 하는 것이다. 《지대넓얕》 시리즈의 1, 2권과 0권이 지식에 대해 다루었다면, ∞권은 나머지 절반의 영역인 실천에 대해 다룬다. 실천은 나와 세계의 실체를 알기 위해서 내면으로 나아가는 것이며, 나를 기준으로 세계를 바라보는 태도를 완전히 뒤바꾸는 것이다. 그것은 모든 것을 다르게 보이게 한다는 점에서 가히 코페르니쿠스적이다.  지식의 끝에서, 구부러져 되돌아온다는 것어떻게 하면 지식을 끌어안고 삶으로 돌아올 수 있을까?나와 세계의 실체를 알기 위한 7단계, 진정한 자기계발의 과정 그렇다면 나와 세계의 실체를 안다는 것은 무엇인가? 작가 채사장은 이에 대한 답으로 나아가기 위해 일곱 가지 단계를 제시한다. 그것은 발심, 정비, 정진, 견성, 출세, 조망, 전진이다. 이 단계는 현실로부터 멀어지며 깊은 심연으로 들어갔다가 다시 현실로 나오는 구조로 되어 있다. 먼저 마음을 내어 세계를 의심하고, 내 주변의 세계를 정비하며, 매력과 혐오라는 심리적 기제를 이해함으로써 내면을 정리한다. 그러면 이 책의 핵심인, 내면의 가장 깊은 곳까지 다다라 새로운 지식을 체험하게 된다. 작가는 우리가 한 번도 가닿지 못했던 세계를 펼쳐낸다. 그가 인간을 나누는 새로운 기준을 제시한다면, 바로 이 견성의 단계를 이해한 자와 이해하지 못한 자일 것이다. 이곳에서 나와 세계의 실체가 비로소 드러나기 때문이다. 또한 이 실체를 이해하면 그때부터는 삶이 다르게 보이기 때문이다. 이제 작가는 바닥을 차고 삶으로 서서히 올라온다. 세상으로 나와 세상과 적절한 거리를 두며 살아갈 수 있도록, 넓어진 시야로 삶을 조망할 수 있도록 안내하고, 마지막으로는 좋은 사람이 되는 법에 대한 작가만의 깊은 해석을 풀어낸다. 이러한 과정에서 독자는 책이 어떻게 나를 달라지게 함으로써 진정한 자기계발이 되는지 절감할 수 있다.독자는 일곱 단계를 통해 한계가 없는 앎으로까지 나아간다. 그리고 그 끝에서 구부러져, 전과는 다른 시선을 지닌 채 다시 삶으로 되돌아온다. 지식은 삶에 뿌리내려야 비로소 그 의미를 가지며, 삶에 뿌리내린 지식은 지혜가 되어 다시 새로운 지식의 토대가 되는 무한한 이어짐. 이것이 무한의 의미다. 《지대넓얕》 시리즈는 0에서 출발하여 ∞으로 돌아오는 기나긴 과정을 통해 인류가 경험할 수 있는 모든 지식과 실천의 두 가지 축을 세워줄 것이다.   인문학 대축적지도로 새로운 신화 쓴 작가 채사장, 10년간의 지적 대장정사자, 코끼리, 혹등고래와 함께 여행한 《지대넓얕》 시리즈의 의미2014년 12월 혜성같이 등장한 책 《지적 대화를 위한 넓고 얕은 지식》 그리고 작가 채사장은 인문학 분야를 뒤흔들어놓았다. 현실 세계와 현실 너머를 이원론의 틀로 연결하는 독보적인 전개는 독자들의 감탄을 자아냈고 무수한 마니아층을 형성했다.세렝게티의 사자가 말을 할 수 있다면 우리는 그 말을 이해할 수 있을까? 1권과 2권의 시작에서 작가는 진정한 대화란 무엇인지 우리에게 질문한다. 그리고 지적 대화를 위해서 필요한 건 언어가 아니라 공통분모이며, 그 공통분모가 바로 인문학이라고 답한다. 이어서 작가는 “인문학은 단적으로 말해서 ‘넓고 얕은 지식’을 의미한다”고 선언한다. 그동안 인문학에 씌워져 있던 무게의 굴레를 벗겨내는 이 과감한 선언이야말로 《지대넓얕》  시리즈의 신화를 알리는 신호탄이었다.5년 후 《지적 대화를 위한 넓고 얕은 지식》 은 3권이 아니라 0권으로 출간되면서 전례 없는 시리즈 구성을 선보였다. 이원론의 세계 이전 일원론의 시대를 하나의 틀로 꿰뚫는 이 〈제로〉 편을 통해 작가는 더 깊은 지식까지 나아가며 경계를 확장했다.여기서 작가는 또 한 번 질문을 던진다. 코끼리의 영혼을 파괴하는 파잔 의식을 보라, 당신은 매 맞는 코끼리인가, 아니면 몽둥이를 든 자인가? 이 아픈 물음을 통해 그는 우리가 오래된 고전을 만나야만 하는 이유로 “위대한 스승을 만나기 위해”라는 해답을 제시한다. 이 스승들이 전하는 거대 사상으로 지식 이전의 선(先)지식을 선취하라는 것. 〈제로〉 편은 《지대넓얕》 시리즈가 모든 지식을 아우를 수 있는 방점이 되게 했다. 2024년 12월, 작가는 이제 《지적 대화를 위한 넓고 얕은 지식》 의 네 번째 책으로 ‘∞’이라는 편제를 선택해 또 다른 행보를 시작한다. 〈무한〉 편은 지식의 영역 외에 우리 시대가 다루지 못하는 절반의 영역, ‘실천’을 말함으로써 지식과 실천이라는 두 개의 축을 완성해낸다. 마지막 질문은 이것이다. 혹등고래가 사는 깊고 어두운 심해, 그들의 이야기를 알려면 우리는 어떻게 해야 하는가? 그 방법은 “혹등고래가 되는 것뿐”이라고 말하는 작가의 답에 아연해질 것이다. 하지만 작가는 우리를 깊고 어두운 심연으로 데려가, 우리가 지금껏 보지 못했던 놀라운 세계를 펼쳐준다. 그곳에서 우리는 혹등고래도 되고 돌멩이도 되고 신도 된다. 아무것도 아닌 것이 되고 종국에는 다시 내가 된다. 이것이 어떻게 가능한가. 작가가 오랫동안 천착해온 문제, 바로 내면의 세계를 이해하게 함으로써, 〈무한〉 편은 우리가 삶을 바라보는 태도를 뒤바꾸어놓는다. 작가 채사장은 기실 〈무한〉 편이 말하는 내면의 세계를 말하기 위해 멀고 먼 길을 돌아왔다. 인간이 아무리 애써도 다다르기 쉽지 않은 내면에 무엇이 있는가? 그것을 아는 것이 삶에 어떤 도움이 되는가? 우리는 어떤 사람으로, 어떻게 살아야 하는가? 〈무한〉은 이 모든 질문에 대한 하나의 거대한 답을 던진다.현실이라는 얕은 지식으로부터 출발해 그것과 나의 관계라는 깊은 지혜로, 그리고 마침내 나라는 무한한 앎으로 이어진 이 10년간의 지적 대장정에 작가는 이제 마침표를 찍는다. 그는 말한다. “사자와 코끼리와 혹등고래와 함께한 이 여행이 만족스러웠기를 바란다. 이제 당신만의 여행을 떠날 차례다. 새로운 지혜와 깊은 실천을 향한 아름다운 항해가 시작되길. 그 길에 이 대축적지도가 도움이 되기를 바란다.” 《지대넓얕》 시리즈가 삶이라는 여행에 든든한 동반자가 되리라 믿는다."
"마음의 소란을 다스리는 철학의 문장들 (2,500년 변치 않는 지혜를 새기기 위한 필사노트)","★ 베스트셀러 《현명한 사람은 삶의 무게를 분산한다》 제갈건 작가의 신간★ 논어부터 주역까지 동양을 대표하는 철학의 문장들★ 국내 첫 한글 해설이 수록된 필사책!“자신의 마음과 깊은 대화를 나눌 수 있다면 삶은 저절로 길해진다.”《현명한 사람은 삶의 무게를 분산한다》로 독자들의 마음을 울린 제갈건 작가가 이번에는 필사책으로 돌아왔다. 마음이 소란할 때 동양을 대표하는 철학자들의 문장을 따라 쓰며 하루를 의미 있게 보내자는 취지다. 필사(筆寫)란 ‘붓으로 베껴 옮긴다’는 뜻으로, 한 문장을 쓰더라도 제대로 알고 쓸 때 마음에 남는다. 이번 필사책에는 동양을 대표하는 8가지 철학서에서 엄선한 140가지 문장과 현대식 해설을 함께 담았다. 그리하여 이 필사책은 선현들의 지혜뿐 아니라 젊은 철학자의 통찰까지 함께 엿볼 수 있다는 점에서 뜻깊다.외부의 소음과 마음의 갈등으로 지쳐 가는 현 시대에서 나를 잃지 않기 위해 가장 필요한 것은 나만의 시간이다. 2,500년이라는 시간이 흘렀음에도 지금 우리의 삶과 맞닿은 지혜들을 따라 새기며, 한없이 고요한 가운데 오직 문장과 나만이 존재하는 ‘정중동(靜中動)’의 경지를 직접 느껴 보길 바란다."
작가와 작품을 분리할 수 있는가?,"작품과 작가의 도덕성을 둘러싼 문제는 이 시점 가장 격렬한 논쟁거리다. 사건이 생길 때면 논쟁은 뜨겁게 타올라, 때로는 건강한 토론이 아닌 근거 없는 비난과 논리 없는 말싸움으로 번지곤 한다. 그것은 지금까지 이를 다루는 이론적, 분석적 틀이 부재했기 때문이다. 작가와 작품의 도덕성을 둘러싼 여러 종류의 논의를 아우르고, 활용할 만한 기초적인 이론과 분석 방법을 소개하는 책이 『작가와 작품을 분리할 수 있는가?』다. 혼란스러운 이들에게 길잡이가 되어 줄 책이다."
눈에 보이지 않는 돈의 지도책 (세계 경제를 읽는 데이터 지리학),"‘데이터 지리학’의 탁월한 시각화로 지정학적 통찰력을 선사했던 베스트셀러 『눈에 보이지 않는 지도책』 저자들이 옥스퍼드대학교 연구팀과 함께 금융 세계의 패턴과 빅데이터를 포착한 새로운 역작을 내놓았다. 이번에는 『눈에 보이지 않는 돈의 지도책』, 그러니까 “돈의 지도책”이다.지도와 인포그래픽으로 세계의 진실을 펼쳐놓은 공로로 영국 왕립지리학회에서 커스버트피크상을 수상한 바 있는 올리버 우버티와 제임스 체셔가, 지리학자 다리우시 보이치크가 이끄는 200여 명의 옥스퍼드대학교 연구팀과 힘을 합쳐 금융의 속살을 해부한다.1만 2000시간을 투여한 대규모 프로젝트의 결실인 이 책은 수메르의 점토판에서 시작한 화폐의 시발점부터, 보험업의 탄생, 조세회피처의 비밀, 탄소배출권의 진실, 비트코인을 비롯한 암호화폐의 등장 및 변동성, 게임스톱 주가 폭등 사건 등 금융의 역사를 추적하며 세계 경제의 진실을 밝힌다. 금융의 역사와 자본의 본질을 심층적으로 분석하고, 이를 지도와 인포그래픽으로 시각화해 독자에게 거시 경제의 흐름을 읽는 새로운 통찰을 제공한다."
현명한 부모는 적당한 거리를 둔다 (아이와 평생 좋은 관계를 맺고 싶은 당신을 위한 심리학 수업),"하버드ㆍUCLA 심리학자 김민지 박사의 첫 한국어 저서 아이와 평생 좋은 관계를 맺고 싶은 부모를 위한 심리학 수업세계적 심리학 거장들의 기대와 찬사가 쏟아진 《현명한 부모는 적당한 거리를 둔다》가 정식 출간되었다. 다중지능 이론(Multiple Intelligences Theory)을 창시해 교육과 심리학의 패러다임을 바꾼 하버드 대학교 교수 하워드 가드너는 《현명한 부모는 적당한 거리를 둔다》를 두고 “이 혁신적인 책은 아이 성장을 위한 안전한 바운더리를 제공하는 방법을 알려준다”며 강력 추천했다. 감성지능(Emotional Intelligence, EI)을 측정하는 평가 도구를 개발한 심리학자 예일대 데이비드 카루소는 “양육의 기술은 부모인 나와 아이의 경계를 아는 데서 시작된다”며 바운더리를 설정하는 방법에 대해 체계적으로 접근한 이 책에 찬사를 보냈다. 한편 창의성과 리더십, 천재성 연구의 거장 UC데이비스의 딘 키스 시몬튼은 “친밀함과 독립심 사이의 균형이 부모-자녀 관계의 핵심”이라며 “이 책이 그 미묘한 관계를 지혜롭게 맞춰가는 방법을 제시해준다”고 말했다. 지능, 감정, 창의성 등 주요 심리학 영역에서 혁신적인 발전을 이끌어온 세계적 석학들이 이 책에 주목한 이유는 무엇일까? 《현명한 부모는 적당한 거리를 둔다》 저자 김민지는 하버드대학교에서 심리학 및 뇌과학 학사를, UCLA에서 임상심리학 박사를 취득한 미국 공인 임상심리학자로서 상담실에서 사람들을 직접 만나 실질적인 도움을 제공해왔다. 다양한 국적의 많은 사람이 우울, 불안 등 저마다의 어려움을 안고 그를 찾지만, 국가, 인종, 성별, 나이를 막론하고 결국 사람과 사람 사이 관계 때문에 어려움을 겪는 경우가 많았다. 특히 ‘사람과 사람 사이의 경계가 무너져 발생하는 문제’ 즉 바운더리가 제대로 설정되지 못해 발생하는 심리적 어려움이 큰 것에 주목했다. 바운더리의 기초는 부모로부터 습득하는데, 이것이 전 생애에 걸쳐 한 인간의 심리적 안정과 성장에 중요한 영향을 미친다는 이 책의 핵심 메시지에 공감한 세계적 심리학 거장들이 책 출간에 전폭적 지지를 보낸 것이다. 부모와 아이와 건강한 관계는 아이가 세상과의 관계를 잘 맺고 성장하는 데 중요한 기초를 제공한다. 부모와의 관계에서 배운 경험이 아이가 사회 속에서 관계를 맺고 부딪히며 성장하는 토대가 되기 때문이다. 이를 위해 부모와 아이 사이의 ‘적절한 거리(바운더리)’가 필수다. 갓난아기 시절 부모와 밀착된 관계를 유지했던 아이는 시간이 지나며 독립적인 인간으로 성장하는데, 이 과정이 순조롭게 이루어지려면 부모가 아이의 성장단계에 맞게 관계의 거리를 조정해야 한다. 너무 일찍 거리를 두거나, 너무 늦게 독립을 허용하는 것 모두 아이의 발달에 부정적인 영향을 미칠 수 있다. 《현명한 부모는 적당한 거리를 둔다》는 성장 단계별로 부모와 아이가 어떻게 관계를 맺고 적절한 거리를 유지해야 하는지 구체적으로 다룬다. 또한 아이와 항상 붙어 있는 관계도, 항상 멀리 떨어져 있는 관계도 부작용이 있을 수 있음을 설명하며 아이가 더 단단한 인간으로 성장할 수 있도록 부모의 역할을 조명한다. 부모와 아이의 성장과 독립을 돕기 위한 지침서인 이 책은 아이와 자유롭고 독립적인 관계를 꿈꾸는 부모에게 수준 높은 통찰을 제공할 것이다."
5분 완성 완밥 유아식 (아이가 잘 먹는),"매일이 도전인 엄마를 위한기적의 마법 유아식가정도 일도 가족도 모두 챙겨야 하는 엄마들은 하루 24시간도 모자를 정도로 항상 바쁘다. 특히, 유아식을 해야 할 어린이를 둔 부모님은 아이의 성장, 발육, 학습, 그리고 어린이집까지 챙겨야 할 것들이 열 배는 더 늘어난다. 그중에서도 이제 아기의 면모를 벗어났지만 아직 어른과는 다른 아이의 입맛은 엄마 아빠의 고민을 더 늘게 한다. 식감이 예민한 아이도 있고 벌써부터 단 것만 찾으며 편식의 조짐을 보이는 아이도 있기 때문에 아이의 식사를 차리면서 엄마의 고민은 늘 깊어만 간다. 정성스레 만들어도 한 입 먹고 입을 닫아버리는, 그야말로 혼돈의 유아식 세계에서 엄마는 늘 아이도 잘 먹고 엄마도 편한 유아식 레시피를 찾아 고민하고 또 고민한다.이 책은 이런 엄마들의 힘든 상황에서 출발했다. 아이에게 밥을 먹이면서 엄마들이 부딪히는 두 가지의 힘든 점을 해결하기 위해 노력했다. 제일 먼저 시간이다. 아무리 요리를 잘 못하는 엄마라도 5분 만에 뚝딱 유아식을 만들어 잃어버린 여유를 되찾고 하루가 25시간이 되는 기적의 레시피를 소개했다. 이와 동시에 입맛이 많이 까다로운 아이라 할지라도 ""엄마, 밥 좀 더 주이소!""를 외치게 하는 맛있고 영양이 가득한 185개의 레시피를 담아 아이의 식습관을 바로 잡고 편식하지 않는 것에 초점을 맞췄다.이 책과 함께라면 엄마 아빠는 유아식의 고민에서 해방될 수 있다. 엄마 아빠는 요리가 쉽고 시간이 여유로워서 즐겁고, 아이는 밥이 맛있고 영양이 가득해서 즐거울 것이다. 빠르고 간단한 요리로 아이의 건강을 채우고 모두를 행복하게 할 즐거운 유아식이 될 것이다."
더 나은 어휘를 쓰고 싶은 당신을 위한 필사책,"“매일 쓰는 단어 하나만 달라져도 세상을 바라보는 시선이 바뀐다”김애란, 양귀자, 박완서, 클레어 키건, 헤르만 헤세까지100개의 명작품으로 익히는 어른의 어휘력출간 즉시 종합 베스트셀러, 인문 분야 1위를 기록하며 독자들의 폭발적인 사랑을 받은 《더 좋은 문장을 쓰고 싶은 당신을 위한 필사책》의 후속작 《더 나은 어휘를 쓰고 싶은 당신을 위한 필사책》이 출간됐다.최근 어휘력 부족, 문해력 저하가 심각한 수준이라는 뉴스가 연일 이어지고 있다. 어휘력과 문해력을 키우는 가장 좋은 방법은 무엇일까? 바로 검증된 문장을 직접 필사하며, 머리와 마음에 새기는 것이다. 이 책은 요즘 독자들이 가장 사랑하는 작가 김애란, 양귀자, 클레어 키건부터 시대를 초월하여 사랑받는 박완서, 박경리, 알랭 드 보통, 헤르만 헤세까지, 글쓰기 대가들이 남긴 작품 100편을 엄선해 하루 한 장씩 필사할 수 있도록 구성했다. 따라 쓰기만 해도 어휘력, 문해력이 좋아지는 것은 물론, 막연한 감정을 구체적으로 표현해 보는 연습을 통해 희미하게 느껴졌던 세상이 선명하게 와닿는 경험도 하게 될 것이다."
